id,content_id,item_id,created_at
489,59,246,2018-06-18 2:49pm
490,210,247,2018-06-18 2:57pm
491,211,248,2018-06-18 3:01pm
492,212,249,2018-06-18 3:12pm
493,213,249,2018-06-18 3:12pm
494,,,2018-06-18 3:16pm
495,214,252,2018-06-18 3:21pm
496,37,253,2018-06-18 3:33pm
497,36,254,2018-06-18 3:35pm
498,132,258,2018-06-20 5:19pm
499,21,259,2018-06-20 5:27pm
500,18,259,2018-06-20 5:29pm
501,93,,2018-06-20 5:46pm
502,119,260,2018-06-20 5:47pm
503,215,261,2018-06-20 5:50pm
504,216,263,2018-06-27 2:58pm
505,217,263,2018-06-27 3:00pm
506,100,263,2018-06-27 3:29pm
507,218,263,2018-06-27 3:30pm
508,219,263,2018-06-27 3:33pm
509,221,264,2018-06-27 3:39pm
510,222,265,2018-06-27 3:44pm
511,223,266,2018-06-27 3:53pm
512,11,267,2018-06-27 3:58pm
513,224,193,2018-06-27 3:59pm
514,225,268,2018-06-27 4:52pm
515,226,268,2018-06-27 4:53pm
516,227,269,2018-06-27 4:56pm
517,228,271,2018-06-27 5:08pm
518,229,272,2018-06-27 5:11pm
519,230,273,2018-06-27 5:15pm
520,,,2018-06-27 5:21pm
521,231,279,2018-06-27 5:26pm
522,232,279,2018-06-27 5:27pm
523,233,,2018-06-27 5:28pm
524,235,279,2018-06-27 5:29pm
525,236,279,2018-06-27 5:30pm
526,229,279,2018-06-27 5:31pm
527,209,279,2018-06-27 5:31pm
528,237,279,2018-06-27 5:31pm
529,238,279,2018-06-27 5:33pm
530,239,280,2018-06-27 5:47pm
531,240,280,2018-07-02 6:57pm
532,241,280,2018-07-02 6:58pm
533,63,281,2018-07-05 6:59pm
534,51,281,2018-07-05 6:59pm
535,54,281,2018-07-05 7:00pm
536,21,282,2018-07-05 7:02pm
537,242,283,2018-07-05 7:08pm
538,243,283,2018-07-05 7:10pm
539,244,283,2018-07-05 7:10pm
540,245,283,2018-07-05 7:11pm
541,242,284,2018-07-05 7:14pm
542,243,284,2018-07-05 7:15pm
543,244,284,2018-07-05 7:15pm
544,245,284,2018-07-05 7:15pm
545,246,285,2018-07-05 7:17pm
546,247,286,2018-07-05 7:22pm
547,237,,2018-07-05 7:23pm
548,248,287,2018-07-05 7:24pm
549,249,288,2018-07-05 7:29pm
550,250,289,2018-07-05 7:45pm
551,251,290,2018-07-05 7:48pm
552,252,291,2018-07-05 7:54pm
553,253,292,2018-07-05 7:55pm
554,254,293,2018-07-05 8:00pm
555,255,294,2018-07-05 8:03pm
556,256,295,2018-07-05 8:07pm
557,257,296,2018-07-05 8:09pm
558,258,297,2018-07-05 8:11pm
559,259,300,2018-07-06 2:11pm
560,260,301,2018-07-06 2:13pm
561,189,302,2018-07-06 2:19pm
562,261,303,2018-07-06 2:23pm
563,262,304,2018-07-06 2:24pm
564,263,305,2018-07-06 2:25pm
565,225,306,2018-07-06 2:28pm
566,264,307,2018-07-06 2:29pm
567,266,307,2018-07-06 2:51pm
568,6,308,2018-07-06 2:54pm
569,267,309,2018-07-06 2:57pm
570,41,310,2018-07-06 2:58pm
571,268,311,2018-07-06 2:59pm
572,258,315,2018-07-06 3:04pm
573,,,2018-07-06 3:04pm
574,269,316,2018-07-06 3:05pm
575,270,317,2018-07-06 3:07pm
576,271,318,2018-07-06 3:50pm
577,95,320,2018-07-06 3:55pm
578,97,321,2018-07-06 3:56pm
579,51,322,2018-07-06 3:57pm
580,50,323,2018-07-06 3:58pm
581,68,324,2018-07-06 3:58pm
582,272,325,2018-07-06 3:59pm
583,273,326,2018-07-06 4:01pm
584,274,327,2018-07-06 4:01pm
585,196,328,2018-07-06 4:03pm
586,65,330,2018-07-09 6:43pm
587,275,331,2018-07-09 6:44pm
588,225,332,2018-07-09 6:55pm
589,170,333,2018-07-23 7:44pm
590,276,333,2018-07-23 7:45pm
591,96,333,2018-07-23 7:46pm
592,50,333,2018-07-23 7:46pm
593,51,333,2018-07-23 7:47pm
594,277,333,2018-07-23 7:47pm
595,278,333,2018-07-23 7:48pm
596,279,333,2018-07-23 7:48pm
597,280,333,2018-07-23 7:49pm
598,49,334,2018-07-23 7:53pm
599,276,334,2018-07-23 7:54pm
600,281,334,2018-07-23 7:54pm
601,163,334,2018-07-23 7:55pm
602,155,334,2018-07-23 7:55pm
603,282,334,2018-07-23 7:55pm
604,280,334,2018-07-23 7:56pm
605,167,335,2018-07-23 7:59pm
606,50,338,2018-07-23 8:20pm
607,280,339,2018-07-23 8:22pm
608,196,340,2018-07-23 8:24pm
609,270,341,2018-07-23 8:42pm
610,188,342,2018-07-23 8:43pm
611,283,343,2018-07-23 8:45pm
612,284,344,2018-07-23 8:46pm
613,285,345,2018-07-23 9:05pm
614,196,346,2018-07-23 9:55pm
615,196,347,2018-07-23 9:56pm
616,113,348,2018-07-23 10:00pm
617,258,348,2018-07-23 10:00pm
618,286,348,2018-07-23 10:01pm
619,288,349,2018-08-07 4:42pm
620,289,350,2018-08-07 4:46pm
621,290,351,2018-08-07 4:49pm
622,291,352,2018-08-07 4:50pm
623,292,353,2018-08-07 4:52pm
624,293,354,2018-08-07 6:10pm
625,294,355,2018-08-07 6:20pm
626,295,356,2018-08-07 6:24pm
627,296,357,2018-08-07 6:26pm
628,297,358,2018-08-07 6:33pm
629,298,,2018-08-07 6:35pm
630,299,360,2018-08-07 6:37pm
631,300,361,2018-08-07 6:39pm
632,301,362,2018-08-07 6:41pm
633,302,363,2018-08-07 6:51pm
634,303,364,2018-08-07 6:55pm
635,304,365,2018-08-07 7:01pm
636,305,366,2018-08-07 7:02pm
637,306,367,2018-08-07 8:18pm
638,307,368,2018-08-07 8:20pm
639,308,369,2018-08-14 5:00pm
640,130,157,2019-01-18 2:30am
