id,inventory_id,description,quantity,inc,discount_adj,kind,hours_for_labor_only,description_only,inc_discount_in_opct,created_at
256,115,,2,0,,,,0,,2018-07-05T20:07:29.000Z
257,116,,,0,,,,0,,2018-07-05T20:09:37.000Z
258,117,,,0,,,,0,,2018-07-05T20:11:23.000Z
259,52,8' Truss (12in x 12in),4,0,,,,1,,2018-07-06T14:12:10.000Z
260,53,3' x 3' Truss Plate,4,0,,,,1,,2018-07-06T14:14:04.000Z
261,31,,,0,,,,0,,2018-07-06T14:23:09.000Z
262,43,,,0,,,,0,,2018-07-06T14:24:30.000Z
263,33,,,0,,,,0,,2018-07-06T14:25:35.000Z
264,118,7' Truss ( 12in x 12in ),4,0,,,,1,,2018-07-06T14:30:07.000Z
265,,,,0,,,,0,,2018-07-06T14:51:40.000Z
266,53,,4,0,,,,0,,2018-07-06T14:52:39.000Z
267,109,,5,0,,,,0,,2018-07-06T14:57:39.000Z
268,119,,,1,,,,0,,2018-07-06T14:59:41.000Z
269,59,,,1,,,,0,,2018-07-06T15:05:37.000Z
270,19,,6,0,,,,0,,2018-07-06T15:07:53.000Z
271,46,50in Plasma Screens,2,0,,,,1,,2018-07-06T15:50:36.000Z
272,24,,,0,,,,0,,2018-07-06T16:00:27.000Z
273,21,,,0,,,,0,,2018-07-06T16:01:08.000Z
274,94,,4,0,,,,0,,2018-07-06T16:01:54.000Z
275,37,w/ stands,4,0,,,,0,,2018-07-09T18:47:24.000Z
276,,Speaker Stands,4,1,,,,1,,2018-07-23T19:45:25.000Z
277,,2500 watt generator,,0,-$75.00,Subcontracted,,1,,2018-07-23T19:47:34.000Z
278,,Sony CD Player,,1,,,,1,,2018-07-23T19:48:13.000Z
279,37,Microphone,1,0,,,,0,,2018-07-23T19:48:45.000Z
280,,Complete Cable Package,,1,,,,1,,2018-07-23T19:49:23.000Z
281,120,,,0,,,,0,,2018-07-23T19:54:34.000Z
282,,2000 Watt Generator,,1,,Subcontracted,,1,,2018-07-23T19:55:55.000Z
283,48,,8,0,,,,0,,2018-07-23T20:45:06.000Z
284,121,,,0,,,,0,,2018-07-23T21:03:35.000Z
285,122,,,1,,,,0,,2018-07-23T21:05:40.000Z
286,123,,,0,,,,0,,2018-07-23T22:01:18.000Z
287,112,,,0,,,,0,,2018-08-07T16:42:23.000Z
288,124,,4,0,,,,0,,2018-08-07T16:42:37.000Z
289,125,,,0,,,,0,,2018-08-07T16:46:23.000Z
290,126,,,0,,,,0,,2018-08-07T16:49:03.000Z
291,127,,,1,,,,0,,2018-08-07T16:50:22.000Z
292,128,,,1,,,,0,,2018-08-07T16:52:59.000Z
293,22,,18,0,,,,0,,2018-08-07T18:11:07.000Z
294,68,,16,0,,,,0,,2018-08-07T18:20:46.000Z
295,129,,3,0,,,,0,,2018-08-07T18:24:09.000Z
296,130,,2,1,,,,0,,2018-08-07T18:27:20.000Z
297,131,,,0,,,,0,,2018-08-07T18:33:28.000Z
298,,,,0,,,,0,,2018-08-07T18:35:31.000Z
299,91,,2,0,,,,0,,2018-08-07T18:37:51.000Z
300,132,,2,1,,,,0,,2018-08-07T18:39:40.000Z
301,133,,1,1,,,,0,,2018-08-07T18:41:29.000Z
302,134,,4,0,,,,0,,2018-08-07T18:51:24.000Z
303,135,,4,1,,,,0,,2018-08-07T18:55:04.000Z
304,43,,5,1,,,,0,,2018-08-07T19:01:26.000Z
305,33,,5,1,,,,0,,2018-08-07T19:02:52.000Z
306,43,,8,0,,,,0,,2018-08-07T20:19:08.000Z
307,33,,8,0,,,,0,,2018-08-07T20:20:12.000Z
308,39,,48,0,,,,0,,2018-08-14T17:00:09.000Z
