id,type,status,payment_status,payment_type,commission_paid,check_info,discount,deposit,tip,refund,commission_actual,event_id,created_at
564,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,689,2018-03-08 5:53pm
565,On Premise Contract,,Paid In Full,Check,,,,,,,,690,2018-03-08 5:56pm
566,On Premise Contract,,Paid In Full,Unknown,,,,,,,,691,2018-03-08 5:59pm
567,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,692,2018-03-08 6:02pm
568,On Premise Contract,,Paid In Full,Check,,,,,,,,693,2018-03-08 6:04pm
569,On Premise Contract,,Paid In Full,Deduction from Commissions,,,,,,,,694,2018-03-08 6:07pm
570,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,695,2018-03-08 6:09pm
571,On Premise Contract,,Paid In Full,Check,,,,,,,,696,2018-03-08 6:11pm
572,On Premise Contract,,Paid In Full,Cash | Check,,,,,,,,697,2018-03-08 6:13pm
573,On Premise Contract,,Paid In Full,Cash,,,,,,,850.00,698,2018-03-13 3:08pm
574,On Premise Contract,,Paid In Full,Cash,,,,,,,600.00,699,2018-03-13 3:12pm
575,On Premise Contract,,Paid In Full,Check,,,,,,,675.00,700,2018-03-13 3:15pm
576,On Premise Contract,,Paid In Full,Cash,,,,,,,775.00,701,2018-03-13 3:19pm
577,On Premise Contract,,Paid In Full,Cash,,,100.00,,,,,702,2018-03-13 3:23pm
578,On Premise Contract,,Paid In Full,Cash,,,,,,,,703,2018-03-13 3:33pm
579,On Premise Contract,,Paid In Full,Check,,,,,,,,704,2018-03-13 3:39pm
580,On Premise Contract,,Paid In Full,Check,,,,,,,,705,2018-03-13 3:42pm
581,On Premise Contract,,Paid In Full,Cash,,,,,,,750.00,706,2018-03-13 3:46pm
